raw_DATE,label_DATE,raw_temp_C,predict_temp_C
2016-10-08 01:53:00,2016-10-07 01:53:00,15.0,11.406163007855236
2016-10-08 02:53:00,2016-10-07 02:53:00,15.0,11.270524312162992
2016-10-08 03:53:00,2016-10-07 03:53:00,12.8,11.486137960810577
2016-10-08 04:53:00,2016-10-07 04:53:00,13.9,12.098666219192673
2016-10-08 05:53:00,2016-10-07 05:53:00,13.9,12.371845761877193
2016-10-08 06:53:00,2016-10-07 06:53:00,13.9,13.105541255388603
2016-10-08 07:53:00,2016-10-07 07:53:00,17.2,15.477739836153955
2016-10-08 08:53:00,2016-10-07 08:53:00,21.1,17.40143363286656
2016-10-08 09:53:00,2016-10-07 09:53:00,23.9,20.14223721983217
2016-10-08 10:53:00,2016-10-07 10:53:00,25.6,21.56469006101902
2016-10-08 13:53:00,2016-10-07 13:53:00,31.1,25.414229476887236
2016-10-08 14:53:00,2016-10-07 14:53:00,31.1,26.21985741462273
2016-10-08 15:53:00,2016-10-07 15:53:00,31.1,25.56006062841258
2016-10-08 16:53:00,2016-10-07 16:53:00,28.9,25.11366473169185
2016-10-08 17:53:00,2016-10-07 17:53:00,25.6,22.227241064142454
2016-10-08 18:53:00,2016-10-07 18:53:00,23.3,20.822275034202743
2016-10-08 19:53:00,2016-10-07 19:53:00,22.2,19.823412173707936
2016-10-08 20:53:00,2016-10-07 20:53:00,21.7,18.7923821931281
2016-10-08 21:53:00,2016-10-07 21:53:00,21.1,18.20807306526049
2016-10-08 22:53:00,2016-10-07 22:53:00,17.8,16.527248903317716
2016-10-08 23:53:00,2016-10-07 23:53:00,16.7,15.124025525382587
2016-10-09 00:53:00,2016-10-08 00:53:00,16.7,14.135760127308195
2016-10-09 01:53:00,2016-10-08 01:53:00,15.6,13.24332894229588
2016-10-09 02:53:00,2016-10-08 02:53:00,15.6,13.563584699281975
2016-10-09 03:53:00,2016-10-08 03:53:00,15.0,11.92726229696084
2016-10-09 04:53:00,2016-10-08 04:53:00,13.9,12.958985494977899
2016-10-09 05:53:00,2016-10-08 05:53:00,13.3,13.348524596768437
2016-10-09 06:53:00,2016-10-08 06:53:00,13.9,13.63554840707304
2016-10-09 07:53:00,2016-10-08 07:53:00,17.8,16.262886714641564
2016-10-09 08:53:00,2016-10-08 08:53:00,21.1,19.69326822505895
2016-10-09 09:53:00,2016-10-08 09:53:00,24.4,22.065206103894013
2016-10-09 10:53:00,2016-10-08 10:53:00,26.7,23.52179677513327
2016-10-09 11:53:00,2016-10-08 11:53:00,27.8,26.250922046156965
2016-10-09 12:53:00,2016-10-08 12:53:00,28.3,27.10326810255546
2016-10-09 13:53:00,2016-10-08 13:53:00,30.0,27.871344006921504
2016-10-09 14:53:00,2016-10-08 14:53:00,29.4,27.784555038593922
2016-10-09 15:53:00,2016-10-08 15:53:00,28.9,27.720579176398974
2016-10-09 16:53:00,2016-10-08 16:53:00,26.1,25.808632320933427
2016-10-09 17:53:00,2016-10-08 17:53:00,22.8,23.051009051087583
2016-10-09 18:53:00,2016-10-08 18:53:00,20.6,21.11644045846637
2016-10-09 19:53:00,2016-10-08 19:53:00,21.1,20.086994035245496
2016-10-09 20:53:00,2016-10-08 20:53:00,20.0,19.63158984459612
